episode,input_fidelity,samples,legacy_force_norm_mean_n,current_force_norm_mean_n,delta_force_norm_mean_n,delta_percent_force_norm_mean_n,legacy_force_norm_rmse_n,current_force_norm_rmse_n,delta_force_norm_rmse_n,delta_percent_force_norm_rmse_n,legacy_force_norm_p95_n,current_force_norm_p95_n,delta_force_norm_p95_n,delta_percent_force_norm_p95_n,legacy_force_norm_p99_n,current_force_norm_p99_n,delta_force_norm_p99_n,delta_percent_force_norm_p99_n,legacy_force_norm_max_n,current_force_norm_max_n,delta_force_norm_max_n,delta_percent_force_norm_max_n,legacy_force_within_1n_fraction,current_force_within_1n_fraction,delta_force_within_1n_fraction,delta_percent_force_within_1n_fraction,legacy_force_within_2n_fraction,current_force_within_2n_fraction,delta_force_within_2n_fraction,delta_percent_force_within_2n_fraction
episode_000,high_rate_observer_log,3813,1.5038245358445985,0.7277359777579385,-0.77608855808666,-51.60765365826289,1.6882752872552897,0.8285902811782382,-0.8596850060770516,-50.92090209261327,2.952599159843664,1.4495580423690708,-1.503041117474593,-50.905694816839855,3.206630598723122,2.0070316930950387,-1.1995989056280831,-37.409950061156486,3.8896128766285933,3.8336038763570484,-0.056009000271544984,-1.439963360057878,0.3259900340938893,0.8090742197744558,0.4830841856805665,148.18986323411104,0.7096774193548387,0.989771833202203,0.2800944138473642,39.46784922394678
episode_001,high_rate_observer_log,3540,1.5939069945056277,0.672218812994061,-0.9216881815115666,-57.82571910962979,1.7620081011894035,0.7877937712806795,-0.974214329908724,-55.290002880866595,2.812317981947844,1.4481895942818854,-1.3641283876659587,-48.50548182752604,3.2583510536813187,2.048564515232505,-1.2097865384488138,-37.12879669862412,3.4703344741185345,2.8958252245792164,-0.574509249539318,-16.554866795231415,0.22768361581920904,0.8090395480225989,0.5813559322033899,255.33498759305215,0.6946327683615819,0.9892655367231639,0.2946327683615819,42.415616104107364
episode_002,high_rate_observer_log,3457,1.4790282705677167,0.7249842931293152,-0.7540439774384015,-50.98239110392163,1.6579493589977836,0.8284246711351446,-0.829524687862639,-50.03317401468038,3.021447879497481,1.5365771762122173,-1.4848707032852635,-49.14434279542242,3.530961238537153,1.9850457808218789,-1.5459154577152743,-43.78171702490095,4.008159180581472,3.9887752015559137,-0.019383979025557885,-0.4836130041807824,0.3190627711888921,0.8137113103847267,0.49464853919583457,155.03173164097916,0.8067688747468904,0.9901648828463986,0.18339600809950818,22.732162065256354
episode_003,high_rate_observer_log,4416,1.6183578732008148,0.7809670401546778,-0.837390833046137,-51.74324214148825,1.7714335163344623,1.0223118977543526,-0.7491216185801097,-42.289005580645735,3.130012011241986,1.8954581183076216,-1.2345538929343642,-39.44246502889599,3.5947193500851204,3.9564641993021588,0.3617448492170383,10.06322925344568,3.995425975258315,5.618286149536395,1.6228601742780802,40.617951235428855,0.20833333333333334,0.785552536231884,0.5772192028985507,277.0652173913043,0.7413949275362319,0.9599184782608695,0.21852355072463758,29.47464874770921
episode_004,high_rate_observer_log,3056,1.5663748406671751,0.8091358435091889,-0.7572389971579863,-48.34340909328262,1.7470443090145513,1.005410006917745,-0.7416343020968064,-42.45080094821048,3.05286818603245,1.716344044355599,-1.336524141676851,-43.77929410092928,3.372824148686125,2.6105848885666205,-0.7622392601195043,-22.59943674847183,3.68261522506373,7.39626973896121,3.7136545138974797,100.84285994970361,0.2601439790575916,0.743455497382199,0.48331151832460734,185.78616352201257,0.7195680628272252,0.974476439790576,0.2549083769633508,35.42519326966803
episode_005,high_rate_observer_log,2730,2.350832564925145,0.722492337341006,-1.6283402275841388,-69.26653356258863,2.4157832614864185,0.7955046348089966,-1.6202786266774218,-67.07052956731197,3.1385611242591445,1.3826509193820804,-1.755910204877064,-55.94634405253285,3.3130898621712648,1.6983831434377497,-1.6147067187335151,-48.737184498681295,3.5785611316601305,2.2829584389553434,-1.295602692704787,-36.20457063713046,0.005494505494505495,0.8131868131868132,0.8076923076923077,14700.0,0.29853479853479853,0.9985347985347985,0.7,234.47852760736197
episode_006,high_rate_observer_log,2541,2.348605964263762,0.7285536628935453,-1.6200523013702166,-68.97931479442822,2.465506998558759,0.8188345763835799,-1.6466724221751794,-66.78838969582164,3.544261607833583,1.4446032277610887,-2.099658380072494,-59.241066614038765,3.806959488651345,2.0396892555515063,-1.7672702330998389,-46.422091917923524,4.012899749532659,2.97869983162553,-1.034199917907129,-25.771885231560336,0.018890200708382526,0.820543093270366,0.8016528925619835,4243.75,0.29634002361275086,0.9885871704053523,0.6922471467926015,233.5989375830014
episode_007,high_rate_observer_log,3075,2.18771099082394,0.75797844130794,-1.4297325495159998,-65.35289878383485,2.3056357211846326,0.8386888994282415,-1.466946821756391,-63.62439687578556,3.413303960126672,1.4761064063860958,-1.9371975537405761,-56.754322977690045,3.6257275487287663,1.8174550834634018,-1.8082724652653646,-49.87336861258016,3.976630678237693,2.641294314615787,-1.3353363636219058,-33.57959216402971,0.053983739837398376,0.7834146341463415,0.7294308943089431,1351.2048192771085,0.3642276422764228,0.9960975609756098,0.631869918699187,173.48214285714283
episode_008,high_rate_observer_log,3506,2.457868199713963,0.8609769356864776,-1.5968912640274855,-64.97058158827741,2.51002568174152,0.9544710171679744,-1.5555546645735454,-61.97365532508265,3.2758030025728617,1.6607907831877031,-1.6150122193851586,-49.30126195368602,3.7071478320699254,2.179545444979011,-1.5276023870909143,-41.20694550877841,4.0022936159564875,2.9867120380447374,-1.01558157791175,-25.37498932768933,0.0,0.7067883628066173,0.7067883628066173,,0.1982316029663434,0.9831717056474615,0.784940102681118,395.9712230215828
episode_009,high_rate_observer_log,2537,2.571925354214659,0.8877703772012401,-1.684154977013419,-65.4822650374967,2.6255782085129846,0.9828485553821523,-1.6427296531308322,-62.566395767780385,3.3194446330920115,1.7057130993475116,-1.6137315337445,-48.61450369308717,3.699294101904505,2.1239732650332415,-1.5753208368712635,-42.58436321838381,3.850015760909432,2.8096595498952293,-1.0403562110142026,-27.02212862548009,0.0,0.675601103665747,0.675601103665747,,0.15057154119038235,0.9826566811194324,0.8320851399290501,552.6178010471205
episode_010,high_rate_observer_log,2505,2.55490954028402,0.8961924638343769,-1.6587170764496433,-64.92273210836457,2.597106566461219,0.9903933306036502,-1.6067132358575686,-61.86551051106284,3.262624634985712,1.7425878307577873,-1.5200368042279249,-46.589386591650666,3.5471946954334985,2.177482219071704,-1.3697124763617947,-38.61396382118811,3.9082613451569506,3.0130511211505278,-0.8952102240064228,-22.90558754766366,0.00998003992015968,0.6802395209580838,0.6702594810379241,6716.0,0.07944111776447106,0.9792415169660679,0.8998003992015968,1132.6633165829146
